Model,Best Parameters,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.9128329297820823,0.9484536082474226,0.5786163522012578,0.71875,0.9744420242708834
Gradient Boosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.8837772397094431,0.8181818181818182,0.5094339622641509,0.627906976744186,0.8914787889074332
Decision Tree,"{'model__max_depth': None, 'model__min_samples_split': 10}",0.8728813559322034,0.6310679611650486,0.8176100628930818,0.7123287671232876,0.8782306959727683
AdaBoost,"{'model__learning_rate': 1.0, 'model__n_estimators': 200}",0.8329297820823245,0.64,0.3018867924528302,0.41025641025641024,0.8316030663913326
